sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
34146072393,2021-10-13T06:20:30Z,71,17,19,35,87,72,0.07872078720787208
34146072391,2021-10-12T05:59:00Z,83,20,20,43,82,72,0.07701019252548132
34146072390,2021-10-11T05:47:00Z,66,15,21,30,72,72,0.06529850746268656
34146072389,2021-10-10T05:32:30Z,71,21,21,29,50,72,0.11341632088520055
34093851694,2021-10-09T07:47:00Z,84,22,22,40,87,72,0.08937960042060988
34082989124,2021-10-08T08:42:30Z,77,16,21,40,72,71,0.06935332708528585
34070948807,2021-10-07T08:21:00Z,79,17,21,41,96,69,0.10240334378265413
34055611385,2021-10-06T06:25:30Z,72,20,20,32,93,70,0.11802853437094682
34045272735,2021-10-05T08:55:00Z,88,22,20,46,96,68,0.10810810810810811
34032019749,2021-10-04T09:05:30Z,86,22,22,42,83,69,0.07936507936507936
34017619098,2021-10-03T08:31:00Z,86,22,22,42,91,69,0.07926167209554831
34005843853,2021-10-02T09:03:00Z,87,22,22,43,91,69,0.0790899241603467
33994438324,2021-10-01T09:04:00Z,86,22,21,43,92,67,0.09060022650056625
33969773726,2021-09-29T08:37:30Z,70,18,19,33,75,65,0.11038251366120219
33956176627,2021-09-28T10:16:00Z,82,22,19,41,84,64,0.09519136408243375
33940643758,2021-09-27T09:10:30Z,80,19,19,42,68,64,0.11009174311926606
33927431229,2021-09-26T09:03:00Z,86,22,21,43,86,64,0.07545271629778671
33923625047,2021-09-25T09:39:30Z,84,22,21,41,91,64,0.07744433688286544
33907184367,2021-09-24T09:17:00Z,91,22,22,47,86,66,0.06713426853707415
33890015347,2021-09-23T09:51:30Z,82,17,21,44,66,66,0.10425716768027801
33873809928,2021-09-22T09:13:30Z,81,19,19,43,89,67,0.1392857142857143
33861023319,2021-09-21T08:57:30Z,76,18,22,36,84,69,0.0908130939809926
33846649700,2021-09-20T09:35:30Z,84,18,21,45,95,70,0.09768637532133675
33833819307,2021-09-19T09:40:30Z,86,21,21,44,79,72,0.136986301369863
33829982636,2021-09-18T08:51:00Z,83,19,21,43,66,74,0.10839160839160839
33829982635,2021-09-17T09:43:00Z,90,24,21,45,139,75,0.12489307100085544
33829982634,2021-09-16T08:50:30Z,89,24,21,44,127,75,0.10418310970797158
33829982633,2021-09-15T08:22:00Z,84,18,21,45,77,75,0.10971223021582734
33829982632,2021-09-14T07:38:00Z,86,20,20,46,100,76,0.13047363717605004
33755149699,2021-09-13T09:55:00Z,78,17,19,42,50,79,0.16421780466724287
33735950159,2021-09-11T08:36:00Z,69,15,12,42,72,78,0.09054726368159204
33727375308,2021-09-10T05:14:30Z,63,17,16,30,70,75,0.11854103343465046
33712775226,2021-09-09T08:59:00Z,78,19,13,46,96,73,0.11049723756906077
33712775225,2021-09-08T08:15:30Z,78,18,14,46,87,73,0.11965811965811966
33679318091,2021-09-07T08:04:30Z,79,21,17,41,92,70,0.104
33667225585,2021-09-06T06:29:30Z,74,19,18,37,67,70,0.1686746987951807
33654934148,2021-09-05T08:17:00Z,78,20,20,38,84,70,0.11507479861910241
33642347034,2021-09-04T08:48:00Z,79,19,20,40,80,70,0.13528855250709557
33630309649,2021-09-03T08:18:00Z,80,20,22,38,57,71,0.10778443113772455
33623974442,2021-09-02T06:42:30Z,64,17,11,36,66,68,0.1345093715545755
33623974441,2021-09-01T07:36:30Z,72,19,16,37,80,68,0.11326860841423948
33623974440,2021-08-31T08:23:00Z,80,21,22,37,94,68,0.08816425120772947
33574361027,2021-08-30T09:17:00Z,80,19,20,41,51,69,0.11722731906218145
33560679055,2021-08-29T08:21:00Z,85,19,20,46,95,69,0.11025886864813039
33549700241,2021-08-28T08:54:00Z,80,21,21,38,51,70,0.12625698324022347
33536591957,2021-08-27T08:37:00Z,75,20,18,37,66,68,0.12053571428571429
33524960193,2021-08-26T09:08:00Z,82,21,22,39,78,67,0.05896510228640193
